region,club,type,distance,date,route,rt_url,rtid,event_url,eid
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2017/01/01,Wine Country 200,/cgi-bin/routesearch_PF.pl?rtid=54,54,/cgi-bin/resultsearch_PF.pl?eid=8495&esortby=cert,8495
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2017/01/01,Rip-Snortin' Rando Ride,/cgi-bin/routesearch_PF.pl?rtid=1495,1495,/cgi-bin/resultsearch_PF.pl?eid=8029&esortby=cert,8029
MO: Kansas City,Kansas City Ultra Cycling / 925001,RUSAB,202,2017/01/01,Princeton Roundabout,/cgi-bin/routesearch_PF.pl?rtid=1125,1125,/cgi-bin/resultsearch_PF.pl?eid=8738&esortby=cert,8738
CA: Davis,Davis Bike Club / 905014,ACPB,200,2017/01/01,Davis-Calistoga-Davis 200Km,/cgi-bin/routesearch_PF.pl?rtid=1163,1163,/cgi-bin/resultsearch_PF.pl?eid=8165&esortby=cert,8165
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100,2017/01/01,Ivor - Chuckatuck 100K,/cgi-bin/routesearch_PF.pl?rtid=1661,1661,/cgi-bin/resultsearch_PF.pl?eid=8137&esortby=cert,8137
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2017/01/01,Promised Land 200k Brevet,/cgi-bin/routesearch_PF.pl?rtid=1147,1147,/cgi-bin/resultsearch_PF.pl?eid=8197&esortby=cert,8197
MA: Boston,New England Randonneurs / 921005,RUSAP,100,2017/01/01,Blue Moon 106km,/cgi-bin/routesearch_PF.pl?rtid=1537,1537,/cgi-bin/resultsearch_PF.pl?eid=8188&esortby=cert,8188
CA: Davis,Davis Bike Club / 905014,RUSAP,103,2017/01/01,Moskowite Corner 100Km,/cgi-bin/routesearch_PF.pl?rtid=1322,1322,/cgi-bin/resultsearch_PF.pl?eid=8166&esortby=cert,8166
MO: St. Louis,St Louis Cycling Club / 925034,ACPB,200,2017/01/01,route 116 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=116,116,/cgi-bin/resultsearch_PF.pl?eid=8631&esortby=cert,8631
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2017/01/01,HighPoint-Stuart 200k,/cgi-bin/routesearch_PF.pl?rtid=281,281,/cgi-bin/resultsearch_PF.pl?eid=8603&esortby=cert,8603
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200,2017/01/01,Orange County Pendleton 200K,/cgi-bin/routesearch_PF.pl?rtid=995,995,/cgi-bin/resultsearch_PF.pl?eid=8688&esortby=cert,8688
OR: Portland,Oregon Randonneurs / 937020,RUSAP,109,2017/01/01,Wine Country,/cgi-bin/routesearch_PF.pl?rtid=53,53,/cgi-bin/resultsearch_PF.pl?eid=8494&esortby=cert,8494
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2017/01/01,The Doctor's Daughter 100,/cgi-bin/routesearch_PF.pl?rtid=1491,1491,/cgi-bin/resultsearch_PF.pl?eid=8028&esortby=cert,8028
MO: Kansas City,Kansas City Ultra Cycling / 925001,RUSAP,104,2017/01/01,Barley's - Free State 104,/cgi-bin/routesearch_PF.pl?rtid=1953,1953,/cgi-bin/resultsearch_PF.pl?eid=8737&esortby=cert,8737
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2017/01/07,route 376 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=376,376,/cgi-bin/resultsearch_PF.pl?eid=8349&esortby=cert,8349
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2017/01/07,Sedalia-Danbury 200k,/cgi-bin/routesearch_PF.pl?rtid=1792,1792,/cgi-bin/resultsearch_PF.pl?eid=8604&esortby=cert,8604
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2017/01/07,Beyond Hope to New Hope,/cgi-bin/routesearch_PF.pl?rtid=1050,1050,/cgi-bin/resultsearch_PF.pl?eid=8229&esortby=cert,8229
TX: Houston,Houston Randonneurs / 943030,RUSAP,100,2017/01/07,Sunnyside Loop,/cgi-bin/routesearch_PF.pl?rtid=1183,1183,/cgi-bin/resultsearch_PF.pl?eid=8387&esortby=cert,8387
FL: Southern,South Florida Randonneurs / 909014,ACPB,300,2017/01/07,Boca-Chobee 317k,/cgi-bin/routesearch_PF.pl?rtid=1331,1331,/cgi-bin/resultsearch_PF.pl?eid=8722&esortby=cert,8722
NC: High Point,Bicycle For Life Club / 933057,ACPB,300,2017/01/07,Sedalia-MtAiry 300k,/cgi-bin/routesearch_PF.pl?rtid=1793,1793,/cgi-bin/resultsearch_PF.pl?eid=8605&esortby=cert,8605
CA: San Francisco,San Francisco Randonneurs / 905030,RUSAP,117,2017/01/07,Pt. Reyes Populaire,/cgi-bin/routesearch_PF.pl?rtid=803,803,/cgi-bin/resultsearch_PF.pl?eid=8270&esortby=cert,8270
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2017/01/07,route 423 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=423,423,/cgi-bin/resultsearch_PF.pl?eid=8388&esortby=cert,8388
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,100,2017/01/07,Hill Street Blues 100k,/cgi-bin/routesearch_PF.pl?rtid=1756,1756,/cgi-bin/resultsearch_PF.pl?eid=8261&esortby=cert,8261
TX: West Texas,West Texas Randonneurs / 943003,RUSAP,100,2017/01/07,Little Rousty 100K Pop,/cgi-bin/routesearch_PF.pl?rtid=1508,1508,/cgi-bin/resultsearch_PF.pl?eid=8764&esortby=cert,8764
FL: Gainesville,Gainesville Cycling Club / 909005,ACPB,200,2017/01/07,route 387 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=387,387,/cgi-bin/resultsearch_PF.pl?eid=8367&esortby=cert,8367
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100,2017/01/07,Saguaro Lake 100K,/cgi-bin/routesearch_PF.pl?rtid=1677,1677,/cgi-bin/resultsearch_PF.pl?eid=8752&esortby=cert,8752
PR: San Juan,Puerto Rico Randonneurs / 952003,ACPB,200,2017/01/07,Guaynabo a Ponce,/cgi-bin/routesearch_PF.pl?rtid=1858,1858,/cgi-bin/resultsearch_PF.pl?eid=8145&esortby=cert,8145
FL: Southern,South Florida Randonneurs / 909014,ACPB,200,2017/01/07,Boca Sugarcane 200k,/cgi-bin/routesearch_PF.pl?rtid=1690,1690,/cgi-bin/resultsearch_PF.pl?eid=8721&esortby=cert,8721
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2017/01/07,Saguaro Lake 200k,/cgi-bin/routesearch_PF.pl?rtid=1502,1502,/cgi-bin/resultsearch_PF.pl?eid=8438&esortby=cert,8438
FL: Southern,South Florida Randonneurs / 909014,ACPB,200,2017/01/08,Lighthouse Point to Hobe Sound,/cgi-bin/routesearch_PF.pl?rtid=1768,1768,/cgi-bin/resultsearch_PF.pl?eid=8763&esortby=cert,8763
