region,club,type,distance,date,route,rt_url,rtid,event_url,eid
MD: Capital Region,DC Randonneurs / 946012,RUSAB,207,2020/01/01,Woodbine-Dillsburg,/cgi-bin/routesearch_PF.pl?rtid=625,625,/cgi-bin/resultsearch_PF.pl?eid=11579&esortby=cert,11579
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,100,2020/01/01,Shortest Ride on the shortest day,/cgi-bin/routesearch_PF.pl?rtid=1679,1679,/cgi-bin/resultsearch_PF.pl?eid=11521&esortby=cert,11521
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2020/01/01,Wine Country 200,/cgi-bin/routesearch_PF.pl?rtid=54,54,/cgi-bin/resultsearch_PF.pl?eid=11347&esortby=cert,11347
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2020/01/01,Rip-Snortin' Rando Ride,/cgi-bin/routesearch_PF.pl?rtid=1495,1495,/cgi-bin/resultsearch_PF.pl?eid=10874&esortby=cert,10874
CA: Davis,Davis Bike Club / 905014,RUSAP,103,2020/01/01,Moskowite Corner 100Km,/cgi-bin/routesearch_PF.pl?rtid=1322,1322,/cgi-bin/resultsearch_PF.pl?eid=11275&esortby=cert,11275
OR: Portland,Oregon Randonneurs / 937020,RUSAP,109,2020/01/01,Wine Country,/cgi-bin/routesearch_PF.pl?rtid=53,53,/cgi-bin/resultsearch_PF.pl?eid=11346&esortby=cert,11346
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2020/01/01,The Doctor's Daughter 100,/cgi-bin/routesearch_PF.pl?rtid=1491,1491,/cgi-bin/resultsearch_PF.pl?eid=10873&esortby=cert,10873
CA: Davis,Davis Bike Club / 905014,ACPB,200,2020/01/01,Colusa - Davis,/cgi-bin/routesearch_PF.pl?rtid=2159,2159,/cgi-bin/resultsearch_PF.pl?eid=11274&esortby=cert,11274
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,ACPB,200,2020/01/01,Orange County Pendleton 200K,/cgi-bin/routesearch_PF.pl?rtid=995,995,/cgi-bin/resultsearch_PF.pl?eid=11166&esortby=cert,11166
MO: Kansas City,Audax Kansas City / 925005,RUSAB,201,2020/01/01,The Archie Bunker,/cgi-bin/routesearch_PF.pl?rtid=1890,1890,/cgi-bin/resultsearch_PF.pl?eid=11599&esortby=cert,11599
