region,club,type,distance,date,route,rt_url,rtid,event_url,eid
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2021/01/01,Athens Georgia 200k,/cgi-bin/routesearch_PF.pl?rtid=1141,1141,/cgi-bin/resultsearch_PF.pl?eid=11955&esortby=cert,11955
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100,2021/01/01,Suffolk 100K,/cgi-bin/routesearch_PF.pl?rtid=2034,2034,/cgi-bin/resultsearch_PF.pl?eid=12064&esortby=cert,12064
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2021/01/01,Three Hour Tour,/cgi-bin/routesearch_PF.pl?rtid=2581,2581,/cgi-bin/resultsearch_PF.pl?eid=11988&esortby=cert,11988
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2021/01/01,Rio Vista Rumble 200,/cgi-bin/routesearch_PF.pl?rtid=122,122,/cgi-bin/resultsearch_PF.pl?eid=11987&esortby=cert,11987
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2021/01/02,No Return to Fitzhugh 200K,/cgi-bin/routesearch_PF.pl?rtid=1722,1722,/cgi-bin/resultsearch_PF.pl?eid=12034&esortby=cert,12034
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100,2021/01/02,Saguaro Lake 100K,/cgi-bin/routesearch_PF.pl?rtid=1677,1677,/cgi-bin/resultsearch_PF.pl?eid=12179&esortby=cert,12179
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2021/01/02,Saguaro Lake 200k,/cgi-bin/routesearch_PF.pl?rtid=1502,1502,/cgi-bin/resultsearch_PF.pl?eid=12180&esortby=cert,12180
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2021/01/02,The New Hope to New Hope,/cgi-bin/routesearch_PF.pl?rtid=2680,2680,/cgi-bin/resultsearch_PF.pl?eid=12400&esortby=cert,12400
TX: Houston,Houston Randonneurs / 943030,RUSAP,111,2021/01/09,Sunnyside Loop,/cgi-bin/routesearch_PF.pl?rtid=1183,1183,/cgi-bin/resultsearch_PF.pl?eid=12047&esortby=cert,12047
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2021/01/09,route 376 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=376,376,/cgi-bin/resultsearch_PF.pl?eid=12035&esortby=cert,12035
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200,2021/01/09,Windsor Wanderer,/cgi-bin/routesearch_PF.pl?rtid=2173,2173,/cgi-bin/resultsearch_PF.pl?eid=12326&esortby=cert,12326
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2021/01/09,Brookshire-Burton,/cgi-bin/routesearch_PF.pl?rtid=924,924,/cgi-bin/resultsearch_PF.pl?eid=12048&esortby=cert,12048
NY: Central/Western,Finger Lakes Randonneurs / 932007,RUSAP,101,2021/01/16,Wolcott Falls Populaire,/cgi-bin/routesearch_PF.pl?rtid=1625,1625,/cgi-bin/resultsearch_PF.pl?eid=12556&esortby=cert,12556
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2021/01/16,Three Hour Tour,/cgi-bin/routesearch_PF.pl?rtid=2581,2581,/cgi-bin/resultsearch_PF.pl?eid=12561&esortby=cert,12561
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2021/01/16,Albany 200,/cgi-bin/routesearch_PF.pl?rtid=2290,2290,/cgi-bin/resultsearch_PF.pl?eid=11956&esortby=cert,11956
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,106,2021/01/16,Rudy's 2 Step,/cgi-bin/routesearch_PF.pl?rtid=2629,2629,/cgi-bin/resultsearch_PF.pl?eid=12554&esortby=cert,12554
TX: Central Texas,Heart of Texas Randonneurs / 943049,RUSAB,224,2021/01/16,Aggie Barn 224k,/cgi-bin/routesearch_PF.pl?rtid=2683,2683,/cgi-bin/resultsearch_PF.pl?eid=12560&esortby=cert,12560
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100,2021/01/23,Sears-Kay Ruins Populaire,/cgi-bin/routesearch_PF.pl?rtid=2465,2465,/cgi-bin/resultsearch_PF.pl?eid=12190&esortby=cert,12190
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2021/01/23,Rio Vista Rumble 200,/cgi-bin/routesearch_PF.pl?rtid=122,122,/cgi-bin/resultsearch_PF.pl?eid=11989&esortby=cert,11989
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2021/01/23,Rio Vista Rumble 306,/cgi-bin/routesearch_PF.pl?rtid=134,134,/cgi-bin/resultsearch_PF.pl?eid=11990&esortby=cert,11990
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2021/01/23,Bartlett Lake 200k,/cgi-bin/routesearch_PF.pl?rtid=2464,2464,/cgi-bin/resultsearch_PF.pl?eid=12191&esortby=cert,12191
TX: Central Texas,Heart of Texas Randonneurs / 943049,RUSAB,329,2021/01/30,Pizza Hut Double Century,/cgi-bin/routesearch_PF.pl?rtid=2686,2686,/cgi-bin/resultsearch_PF.pl?eid=12565&esortby=cert,12565
LA: New Orleans,Crescent City Randonneurs / 918002,ACPB,200,2021/01/30,route 528 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=528,528,/cgi-bin/resultsearch_PF.pl?eid=12459&esortby=cert,12459
NY: Central/Western,Finger Lakes Randonneurs / 932007,ACPB,200,2021/01/31,200LR_3 Womens Rights Loop,/cgi-bin/routesearch_PF.pl?rtid=1082,1082,/cgi-bin/resultsearch_PF.pl?eid=12428&esortby=cert,12428
