region,club,type,distance,date,route,rt_url,rtid,event_url,eid
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,362,2019/08/31,Mineral Wells 360k,/cgi-bin/routesearch_PF.pl?rtid=1089,1089,/cgi-bin/resultsearch_PF.pl?eid=10113&esortby=cert,10113
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,411,2019/08/31,MW 411 - in conjuntion W/ 600 (to WhataBurger),/cgi-bin/routesearch_PF.pl?rtid=141,141,/cgi-bin/resultsearch_PF.pl?eid=10755&esortby=cert,10755
MA: Boston,New England Randonneurs / 921005,RUSAB,200,2019/08/31,Five Hills in New Hampshire,/cgi-bin/routesearch_PF.pl?rtid=2329,2329,/cgi-bin/resultsearch_PF.pl?eid=10455&esortby=cert,10455
CA: Santa Rosa,Santa Rosa Randonneurs / 905171,ACPB,200,2019/08/31,Mt. Tam 200k,/cgi-bin/routesearch_PF.pl?rtid=2265,2265,/cgi-bin/resultsearch_PF.pl?eid=10067&esortby=cert,10067
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,600,2019/08/31,MW 600 - 2008,/cgi-bin/routesearch_PF.pl?rtid=609,609,/cgi-bin/resultsearch_PF.pl?eid=10115&esortby=cert,10115
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,ACPB,200,2019/08/31,Sakatah Singing Hills #2,/cgi-bin/routesearch_PF.pl?rtid=1172,1172,/cgi-bin/resultsearch_PF.pl?eid=10335&esortby=cert,10335
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,200,2019/08/31,Land O'Goshen 200,/cgi-bin/routesearch_PF.pl?rtid=2477,2477,/cgi-bin/resultsearch_PF.pl?eid=10775&esortby=cert,10775
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2019/08/31,MW 200 - In conjuction W/ 600 (Out to Tolar & Back),/cgi-bin/routesearch_PF.pl?rtid=129,129,/cgi-bin/resultsearch_PF.pl?eid=10114&esortby=cert,10114
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2019/09/02,Possum Pedal 205,/cgi-bin/routesearch_PF.pl?rtid=654,654,/cgi-bin/resultsearch_PF.pl?eid=10116&esortby=cert,10116
CA: Davis,Davis Bike Club / 905014,ACPB,200,2019/09/07,Davis-Calistoga-Davis 200Km,/cgi-bin/routesearch_PF.pl?rtid=1163,1163,/cgi-bin/resultsearch_PF.pl?eid=10375&esortby=cert,10375
IL: Chicago,Great Lakes Randonneurs / 913005,ACPB,200,2019/09/07,Psychedelic Eagle 200,/cgi-bin/routesearch_PF.pl?rtid=2364,2364,/cgi-bin/resultsearch_PF.pl?eid=10219&esortby=cert,10219
IL: Chicago,Great Lakes Randonneurs / 913005,ACPB,600,2019/09/07,Puff the Magic 600k,/cgi-bin/routesearch_PF.pl?rtid=2379,2379,/cgi-bin/resultsearch_PF.pl?eid=10220&esortby=cert,10220
PA: Eastern,Pennsylvania Randonneurs / 938017,ACPB,200,2019/09/07,Stillwater 200,/cgi-bin/routesearch_PF.pl?rtid=833,833,/cgi-bin/resultsearch_PF.pl?eid=10045&esortby=cert,10045
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200,2019/09/07,Stove Prairie Counterclockwise,/cgi-bin/routesearch_PF.pl?rtid=177,177,/cgi-bin/resultsearch_PF.pl?eid=10503&esortby=cert,10503
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,109,2019/09/07,Tour de South Bay,/cgi-bin/routesearch_PF.pl?rtid=2018,2018,/cgi-bin/resultsearch_PF.pl?eid=9957&esortby=cert,9957
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAB,600,2019/09/07,Poudre Canyon 600K,/cgi-bin/routesearch_PF.pl?rtid=1583,1583,/cgi-bin/resultsearch_PF.pl?eid=10871&esortby=cert,10871
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,100,2019/09/07,Johnson City Stretch,/cgi-bin/routesearch_PF.pl?rtid=1504,1504,/cgi-bin/resultsearch_PF.pl?eid=10811&esortby=cert,10811
