region,club,type,distance,date,finishers,dnf,eid
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,300.0,2018/02/03,26,1.0,9393
OK: Norman,Oklahoma Randonneurs / 936006,ACPB,200.0,2018/02/03,8,0.0,9130
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200.0,2018/02/03,2,0.0,8965
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200.0,2018/02/03,14,0.0,9134
CA: San Diego,San Diego Randonneurs / 905140,ACPB,200.0,2018/02/04,7,2.0,9002
MA: Boston,New England Randonneurs / 921005,RUSAP,100.0,2018/02/04,12,0.0,9506
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200.0,2018/02/10,110,2.0,9033
LA: New Orleans,Crescent City Randonneurs / 918002,ACPB,200.0,2018/02/10,0,3.0,9570
FL: Gainesville,Gainesville Cycling Club / 909005,ACPB,300.0,2018/02/10,19,0.0,9434
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,300.0,2018/02/10,19,13.0,9577
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200.0,2018/02/10,13,3.0,9337
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,101.0,2018/02/10,6,0.0,9661
TX: Houston,Houston Randonneurs / 943030,ACPB,400.0,2018/02/17,1,0.0,9103
TX: West Texas,West Texas Randonneurs / 943003,ACPB,300.0,2018/02/17,1,0.0,8889
NC: Asheville,Asheville International Randonneurs / 933011,RUSAP,101.0,2018/02/17,0,,9609
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200.0,2018/02/17,3,0.0,8919
CA: Santa Rosa,Santa Rosa Randonneurs / 905171,ACPB,200.0,2018/02/17,47,3.0,9188
NC: High Point,Bicycle For Life Club / 933057,ACPB,400.0,2018/02/17,12,0.0,9406
TX: Houston,Houston Randonneurs / 943030,ACPB,200.0,2018/02/17,3,0.0,9101
FL: Southern,South Florida Randonneurs / 909014,ACPB,400.0,2018/02/17,20,0.0,9311
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300.0,2018/02/17,3,0.0,8920
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200.0,2018/02/17,0,,9200
TN: Nashville,Harpeth Bicycle Club / 942046,RUSAP,100.0,2018/02/17,0,,9199
TX: Houston,Houston Randonneurs / 943030,ACPB,300.0,2018/02/17,0,,9102
TX: West Texas,West Texas Randonneurs / 943003,ACPB,200.0,2018/02/17,1,0.0,8888
PR: San Juan,Puerto Rico Randonneurs / 952003,ACPB,300.0,2018/02/17,2,0.0,8838
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100.0,2018/02/17,0,,8918
NC: High Point,Bicycle For Life Club / 933057,ACPB,300.0,2018/02/17,5,0.0,9405
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,ACPB,300.0,2018/02/18,32,2.0,9593
PR: San Juan,Puerto Rico Randonneurs / 952003,ACPB,400.0,2018/02/24,1,0.0,8839
TX: Brownsville,RGV Randos / 943005,ACPB,200.0,2018/02/24,0,,9064
GA: Atlanta,Audax Atlanta / 910004,ACPB,200.0,2018/02/24,28,0.0,9523
TX: Brownsville,RGV Randos / 943005,ACPB,300.0,2018/02/24,1,0.0,9065
CA: Fresno,Fresno Cycling Club / 905058,ACPB,200.0,2018/02/24,45,3.0,8995
TX: Austin,Hill Country Randonneurs / 943025,ACPB,300.0,2018/02/24,5,1.0,8967
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200.0,2018/02/24,82,16.0,9034
AZ: Tucson,PAC Tour / 949005,ACPB,200.0,2018/02/24,9,0.0,8881
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200.0,2018/02/24,11,0.0,9578
TX: Brownsville,RGV Randos / 943005,RUSAP,100.0,2018/02/24,0,2.0,9063
OK: Norman,Oklahoma Randonneurs / 936006,ACPB,200.0,2018/03/03,6,2.0,9131
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,300.0,2018/03/03,22,2.0,9579
TX: Austin,Hill Country Randonneurs / 943025,ACPB,400.0,2018/03/03,6,0.0,8969
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,300.0,2018/03/03,1,0.0,9202
OR: Portland,Oregon Randonneurs / 937020,ACPB,200.0,2018/03/03,16,5.0,9536
MD: Capital Region,DC Randonneurs / 946012,ACPB,200.0,2018/03/03,16,0.0,9317
CA: Davis,Davis Bike Club / 905014,ACPB,200.0,2018/03/03,20,0.0,9438
LA: New Orleans,Crescent City Randonneurs / 918002,ACPB,300.0,2018/03/03,0,1.0,9571
NC: High Point,Bicycle For Life Club / 933057,ACPB,400.0,2018/03/03,1,0.0,9407
OR: Portland,Oregon Randonneurs / 937020,ACPB,300.0,2018/03/03,3,2.0,9537
FL: Central,Central Florida Randonneurs / 909062,ACPB,400.0,2018/03/03,21,3.0,9556
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200.0,2018/03/03,0,,8968
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200.0,2018/03/03,7,2.0,9201
NC: High Point,Bicycle For Life Club / 933057,ACPB,600.0,2018/03/03,5,0.0,9408
AZ: Tucson,PAC Tour / 949005,ACPB,200.0,2018/03/03,3,1.0,8882
KY: Louisville,Louisville Bicycle Club / 917002,ACPB,200.0,2018/03/03,9,1.0,9300
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,400.0,2018/03/03,17,0.0,9394
MA: Boston,New England Randonneurs / 921005,RUSAP,117.0,2018/03/04,22,0.0,9507
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,100.0,2018/03/04,3,0.0,9018
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,325.0,2018/03/10,0,,8922
AZ: Tucson,PAC Tour / 949005,ACPB,200.0,2018/03/10,5,0.0,8883
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,101.7,2018/03/10,100,9.0,9484
CA: Santa Cruz,Santa Cruz Randonneurs / 905106,ACPB,200.0,2018/03/10,13,0.0,8896
WA: Tri-Cities,Desert River Randonneurs / 947004,ACPB,300.0,2018/03/10,8,0.0,9126
CA: San Diego,San Diego Randonneurs / 905140,ACPB,300.0,2018/03/10,7,1.0,9009
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,400.0,2018/03/10,3,0.0,8923
GA: Atlanta,Audax Atlanta / 910004,ACPB,200.0,2018/03/10,13,3.0,9524
FL: Gainesville,Gainesville Cycling Club / 909005,ACPB,400.0,2018/03/10,15,3.0,9435
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,300.0,2018/03/10,87,5.0,9035
GA: Atlanta,Audax Atlanta / 910004,ACPB,300.0,2018/03/10,0,,9525
FL: Southern,South Florida Randonneurs / 909014,ACPB,600.0,2018/03/10,16,0.0,9312
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200.0,2018/03/10,10,0.0,8921
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,103.0,2018/03/17,1,0.0,9175
TX: Brownsville,RGV Randos / 943005,ACPB,200.0,2018/03/17,3,0.0,9068
UT: Salt Lake City,Salt Lake Randonneurs / 944008,ACPB,200.0,2018/03/17,6,1.0,9176
TX: Houston,Houston Randonneurs / 943030,ACPB,200.0,2018/03/17,5,0.0,9104
CA: Santa Rosa,Santa Rosa Randonneurs / 905171,ACPB,200.0,2018/03/17,39,2.0,9189
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200.0,2018/03/17,1,0.0,9203
AZ: Tucson,PAC Tour / 949005,ACPB,200.0,2018/03/17,4,1.0,8884
NC: Asheville,Asheville International Randonneurs / 933011,RUSAP,100.0,2018/03/17,6,0.0,9610
WA: Seattle,Seattle International Randonneurs / 947018,ACPB,200.0,2018/03/17,91,3.0,9485
TX: Brownsville,RGV Randos / 943005,ACPB,300.0,2018/03/17,0,,9069
MO: Kansas City,Audax Kansas City / 925005,ACPB,200.0,2018/03/17,7,0.0,9155
TX: Houston,Houston Randonneurs / 943030,ACPB,400.0,2018/03/17,3,0.0,9105
MD: Capital Region,DC Randonneurs / 946012,ACPB,200.0,2018/03/17,28,1.0,9318
CA: Fresno,Fresno Cycling Club / 905058,ACPB,200.0,2018/03/17,17,2.0,8996
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,300.0,2018/03/17,11,2.0,9204
NC: Asheville,Asheville International Randonneurs / 933011,ACPB,200.0,2018/03/17,0,,9611
