region,club,type,distance,date,route,rt_url,rtid,event_url,eid
OR: Portland,Oregon Randonneurs / 937020,RUSAP,109,2016/01/01,Wine Country,/cgi-bin/routesearch_PF.pl?rtid=53,53,/cgi-bin/resultsearch_PF.pl?eid=7628&esortby=cert,7628
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2016/01/01,The Doctor's Daughter 100,/cgi-bin/routesearch_PF.pl?rtid=1491,1491,/cgi-bin/resultsearch_PF.pl?eid=7317&esortby=cert,7317
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2016/01/01,Athens Georgia 200k,/cgi-bin/routesearch_PF.pl?rtid=1141,1141,/cgi-bin/resultsearch_PF.pl?eid=7613&esortby=cert,7613
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2016/01/01,Wine Country 200,/cgi-bin/routesearch_PF.pl?rtid=54,54,/cgi-bin/resultsearch_PF.pl?eid=7629&esortby=cert,7629
CA: Davis,Davis Bike Club / 905014,ACPB,200,2016/01/01,Davis - Pope Valley - Davis,/cgi-bin/routesearch_PF.pl?rtid=1200,1200,/cgi-bin/resultsearch_PF.pl?eid=7432&esortby=cert,7432
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2016/01/01,Rip-Snortin' Rando Ride,/cgi-bin/routesearch_PF.pl?rtid=1495,1495,/cgi-bin/resultsearch_PF.pl?eid=7318&esortby=cert,7318
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200,2016/01/01,Malibu Coastal Cruise,/cgi-bin/routesearch_PF.pl?rtid=556,556,/cgi-bin/resultsearch_PF.pl?eid=7747&esortby=cert,7747
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100,2016/01/01,Ivor - Chuckatuck 100K,/cgi-bin/routesearch_PF.pl?rtid=1661,1661,/cgi-bin/resultsearch_PF.pl?eid=7442&esortby=cert,7442
CA: Davis,Davis Bike Club / 905014,RUSAP,100,2016/01/01,Moskowite Corner 100Km,/cgi-bin/routesearch_PF.pl?rtid=1322,1322,/cgi-bin/resultsearch_PF.pl?eid=7433&esortby=cert,7433
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200,2016/01/02,Orange County Pendleton 200K,/cgi-bin/routesearch_PF.pl?rtid=995,995,/cgi-bin/resultsearch_PF.pl?eid=7678&esortby=cert,7678
LA: New Orleans,Crescent City Randonneurs / 918002,RUSAB,200,2016/01/02,route 528 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=528,528,/cgi-bin/resultsearch_PF.pl?eid=7924&esortby=cert,7924
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2016/01/02,Beyond Hope to New Hope,/cgi-bin/routesearch_PF.pl?rtid=1050,1050,/cgi-bin/resultsearch_PF.pl?eid=7370&esortby=cert,7370
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2016/01/02,No Return to Fitzhugh 200K,/cgi-bin/routesearch_PF.pl?rtid=1722,1722,/cgi-bin/resultsearch_PF.pl?eid=7285&esortby=cert,7285
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,120,2016/01/02,Rock and Roll Trail,/cgi-bin/routesearch_PF.pl?rtid=1863,1863,/cgi-bin/resultsearch_PF.pl?eid=7913&esortby=cert,7913
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2016/01/02,Sedalia-Danbury 200k,/cgi-bin/routesearch_PF.pl?rtid=1792,1792,/cgi-bin/resultsearch_PF.pl?eid=7652&esortby=cert,7652
TX: West Texas,West Texas Randonneurs / 943003,RUSAP,100,2016/01/02,Little Rousty 100K Pop,/cgi-bin/routesearch_PF.pl?rtid=1508,1508,/cgi-bin/resultsearch_PF.pl?eid=7923&esortby=cert,7923
MA: Boston,New England Randonneurs / 921005,RUSAP,105,2016/01/03,"Atomic Coffee, Heavenly Donuts, Fowle Sandwiches",/cgi-bin/routesearch_PF.pl?rtid=1611,1611,/cgi-bin/resultsearch_PF.pl?eid=7919&esortby=cert,7919
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100,2016/01/09,Saguaro Lake 100K,/cgi-bin/routesearch_PF.pl?rtid=1677,1677,/cgi-bin/resultsearch_PF.pl?eid=7908&esortby=cert,7908
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2016/01/09,Saguaro Lake 200k,/cgi-bin/routesearch_PF.pl?rtid=1502,1502,/cgi-bin/resultsearch_PF.pl?eid=7313&esortby=cert,7313
