region,club,type,distance,date,finishers,dnf,eid
OR: Portland,Oregon Randonneurs / 937020,RUSAP,109,2016/01/01,5,1.0,7628
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2016/01/01,6,0.0,7317
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2016/01/01,23,0.0,7613
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2016/01/01,4,0.0,7629
CA: Davis,Davis Bike Club / 905014,ACPB,200,2016/01/01,19,1.0,7432
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2016/01/01,12,0.0,7318
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200,2016/01/01,12,1.0,7747
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100,2016/01/01,13,0.0,7442
CA: Davis,Davis Bike Club / 905014,RUSAP,100,2016/01/01,4,1.0,7433
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200,2016/01/02,13,0.0,7678
LA: New Orleans,Crescent City Randonneurs / 918002,RUSAB,200,2016/01/02,0,0.0,7924
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2016/01/02,21,0.0,7370
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2016/01/02,6,0.0,7285
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,120,2016/01/02,4,0.0,7913
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2016/01/02,17,2.0,7652
TX: West Texas,West Texas Randonneurs / 943003,RUSAP,100,2016/01/02,6,6.0,7923
MA: Boston,New England Randonneurs / 921005,RUSAP,105,2016/01/03,10,1.0,7919
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100,2016/01/09,1,0.0,7908
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2016/01/09,25,3.0,7313
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,ACPB,200,2016/01/09,2,2.0,7269
FL: Southern,South Florida Randonneurs / 909014,ACPB,200,2016/01/09,46,1.0,7479
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2016/01/09,8,3.0,7540
CA: San Francisco,San Francisco Randonneurs / 905030,RUSAP,120,2016/01/09,56,9.0,7750
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2016/01/09,7,2.0,7286
FL: Southern,South Florida Randonneurs / 909014,ACPB,300,2016/01/09,18,0.0,7480
FL: Southern,South Florida Randonneurs / 909014,ACPB,200,2016/01/10,9,0.0,7481
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2016/01/16,13,0.0,7653
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2016/01/16,0,0.0,7320
NC: High Point,Bicycle For Life Club / 933057,ACPB,300,2016/01/16,8,1.0,7654
FL: Central,Central Florida Randonneurs / 909062,ACPB,200,2016/01/16,46,2.0,7836
PR: San Juan,Puerto Rico Randonneurs / 952003,ACPB,200,2016/01/16,24,4.0,7226
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,217,2016/01/16,2,0.0,7319
FL: Central,Central Florida Randonneurs / 909062,ACPB,300,2016/01/17,12,2.0,7837
TX: Austin,Hill Country Randonneurs / 943025,ACPB,300,2016/01/23,7,0.0,7287
TX: West Texas,West Texas Randonneurs / 943003,ACPB,200,2016/01/23,5,0.0,7389
CA: San Diego,San Diego Randonneurs / 905140,ACPB,200,2016/01/23,32,1.0,7231
CA: Santa Rosa,Santa Rosa Cycling Club / 905048,ACPB,200,2016/01/23,45,8.0,7886
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200,2016/01/30,91,5.0,7751
NC: High Point,Bicycle For Life Club / 933057,ACPB,400,2016/01/30,15,0.0,7656
TX: Brownsville,RGV Randos / 943005,RUSAB,300,2016/01/30,0,,7927
TX: Houston,Houston Randonneurs / 943030,ACPB,300,2016/01/30,10,1.0,7542
FL: Gainesville,Gainesville Cycling Club / 909005,ACPB,200,2016/01/30,33,0.0,7793
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2016/01/30,31,0.0,7614
NC: High Point,Bicycle For Life Club / 933057,ACPB,300,2016/01/30,14,0.0,7655
TX: Brownsville,RGV Randos / 943005,RUSAB,200,2016/01/30,22,5.0,7926
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2016/01/30,3,0.0,7541
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200,2016/01/30,9,0.0,7812
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2016/02/06,4,0.0,7323
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,104,2016/02/06,2,6.0,7915
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,300,2016/02/06,27,5.0,7314
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,300,2016/02/06,27,0.0,7679
LA: New Orleans,Crescent City Randonneurs / 918002,RUSAB,200,2016/02/06,5,1.0,7925
FL: Southern,South Florida Randonneurs / 909014,ACPB,400,2016/02/06,19,0.0,7482
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2016/02/06,13,0.0,7371
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2016/02/06,4,0.0,7321
MD: Capital Region,DC Randonneurs / 946012,RUSAP,106,2016/02/06,29,8.0,7458
FL: Southern,South Florida Randonneurs / 909014,ACPB,200,2016/02/06,30,0.0,7483
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2016/02/06,3,0.0,7322
MA: Boston,New England Randonneurs / 921005,RUSAP,106,2016/02/07,13,2.0,7920
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200,2016/02/13,3,1.0,7813
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200,2016/02/13,95,6.0,7752
TX: Austin,Hill Country Randonneurs / 943025,ACPB,400,2016/02/13,4,0.0,7288
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2016/02/13,3,0.0,7543
CA: San Diego,San Diego Randonneurs / 905140,ACPB,300,2016/02/13,17,0.0,7232
OR: Portland,Oregon Randonneurs / 937020,RUSAP,105,2016/02/13,8,1.0,7929
TX: West Texas,West Texas Randonneurs / 943003,RUSAP,100,2016/02/13,8,9.0,7932
TX: Houston,Houston Randonneurs / 943030,ACPB,400,2016/02/13,5,0.0,7544
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2016/02/13,16,0.0,7630
