region,club,type,distance,date,finishers,dnf,eid
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2019/01/01,5,0.0,10077
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200,2019/01/01,8,2.0,10423
CA: Davis,Davis Bike Club / 905014,ACPB,200,2019/01/01,24,1.0,9450
CA: Davis,Davis Bike Club / 905014,RUSAP,103,2019/01/01,6,0.0,9451
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100,2019/01/01,3,0.0,10050
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2019/01/01,12,0.0,10078
MO: Kansas City,Audax Kansas City / 925005,ACPB,200,2019/01/01,11,0.0,9843
FL: Southern,South Florida Randonneurs / 909014,ACPB,200,2019/01/05,39,1.0,9862
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2019/01/05,7,0.0,10012
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2019/01/05,6,1.0,10035
TX: Houston,Houston Randonneurs / 943030,RUSAP,111,2019/01/05,0,,10011
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100,2019/01/05,13,2.0,10259
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2019/01/05,26,0.0,10260
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2019/01/05,28,2.0,10354
MO: Kansas City,Audax Kansas City / 925005,RUSAP,100,2019/01/05,5,0.0,9842
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2019/01/05,10,0.0,9818
FL: Gainesville,Gainesville Cycling Club / 909005,ACPB,200,2019/01/05,46,2.0,10222
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,101,2019/01/06,2,0.0,10704
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2019/01/12,12,1.0,9819
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200,2019/01/12,25,0.0,10481
OK: Norman,Oklahoma Randonneurs / 936006,ACPB,200,2019/01/12,0,,9965
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2019/01/12,10,0.0,9796
