region,club,type,distance,date,finishers,dnf,eid
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2017/01/01,0,,8495
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2017/01/01,11,0.0,8029
MO: Kansas City,Kansas City Ultra Cycling / 925001,RUSAB,202,2017/01/01,3,0.0,8738
CA: Davis,Davis Bike Club / 905014,ACPB,200,2017/01/01,11,3.0,8165
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100,2017/01/01,7,0.0,8137
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2017/01/01,1,2.0,8197
MA: Boston,New England Randonneurs / 921005,RUSAP,100,2017/01/01,8,3.0,8188
CA: Davis,Davis Bike Club / 905014,RUSAP,103,2017/01/01,3,0.0,8166
MO: St. Louis,St Louis Cycling Club / 925034,ACPB,200,2017/01/01,1,0.0,8631
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2017/01/01,2,0.0,8603
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200,2017/01/01,11,1.0,8688
OR: Portland,Oregon Randonneurs / 937020,RUSAP,109,2017/01/01,0,,8494
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2017/01/01,5,0.0,8028
MO: Kansas City,Kansas City Ultra Cycling / 925001,RUSAP,104,2017/01/01,13,2.0,8737
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2017/01/07,3,0.0,8349
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2017/01/07,1,0.0,8604
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2017/01/07,2,9.0,8229
TX: Houston,Houston Randonneurs / 943030,RUSAP,100,2017/01/07,0,,8387
FL: Southern,South Florida Randonneurs / 909014,ACPB,300,2017/01/07,21,0.0,8722
NC: High Point,Bicycle For Life Club / 933057,ACPB,300,2017/01/07,3,0.0,8605
CA: San Francisco,San Francisco Randonneurs / 905030,RUSAP,117,2017/01/07,24,1.0,8270
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2017/01/07,4,0.0,8388
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,100,2017/01/07,4,0.0,8261
TX: West Texas,West Texas Randonneurs / 943003,RUSAP,100,2017/01/07,0,,8764
FL: Gainesville,Gainesville Cycling Club / 909005,ACPB,200,2017/01/07,13,2.0,8367
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100,2017/01/07,12,2.0,8752
PR: San Juan,Puerto Rico Randonneurs / 952003,ACPB,200,2017/01/07,6,0.0,8145
FL: Southern,South Florida Randonneurs / 909014,ACPB,200,2017/01/07,8,0.0,8721
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2017/01/07,23,6.0,8438
