region,club,type,distance,date,finishers,dnf,eid
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2021/01/01,0,,11955
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100,2021/01/01,1,0.0,12064
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2021/01/01,2,0.0,11988
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2021/01/01,3,0.0,11987
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2021/01/02,4,0.0,12034
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100,2021/01/02,4,0.0,12179
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2021/01/02,10,0.0,12180
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2021/01/02,18,2.0,12400
TX: Houston,Houston Randonneurs / 943030,RUSAP,111,2021/01/09,1,0.0,12047
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2021/01/09,5,0.0,12035
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200,2021/01/09,18,0.0,12326
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2021/01/09,2,0.0,12048
NY: Central/Western,Finger Lakes Randonneurs / 932007,RUSAP,101,2021/01/16,1,0.0,12556
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2021/01/16,5,0.0,12561
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2021/01/16,10,0.0,11956
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,106,2021/01/16,2,0.0,12554
TX: Central Texas,Heart of Texas Randonneurs / 943049,RUSAB,224,2021/01/16,2,0.0,12560
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100,2021/01/23,7,0.0,12190
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2021/01/23,4,0.0,11989
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2021/01/23,4,0.0,11990
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2021/01/23,8,1.0,12191
TX: Central Texas,Heart of Texas Randonneurs / 943049,RUSAB,329,2021/01/30,2,0.0,12565
LA: New Orleans,Crescent City Randonneurs / 918002,ACPB,200,2021/01/30,2,0.0,12459
NY: Central/Western,Finger Lakes Randonneurs / 932007,ACPB,200,2021/01/31,0,,12428
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,101,2021/02/06,7,0.0,12571
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,300,2021/02/06,13,2.0,12181
TX: Austin,Hill Country Randonneurs / 943025,ACPB,300,2021/02/06,6,0.0,12037
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2021/02/06,0,1.0,12401
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2021/02/06,1,0.0,12036
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200,2021/02/06,13,3.0,12327
CA: San Diego,San Diego Randonneurs / 905140,ACPB,200,2021/02/13,13,0.0,11920
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,ACPB,200,2021/02/13,2,0.0,12263
TX: Houston,Houston Randonneurs / 943030,ACPB,300,2021/02/20,1,0.0,12051
GA: Atlanta,Audax Atlanta / 910004,ACPB,300,2021/02/20,5,2.0,11957
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2021/02/20,2,1.0,12050
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2021/02/27,3,0.0,11991
NY: Central/Western,Finger Lakes Randonneurs / 932007,RUSAP,101,2021/02/27,1,0.0,12581
TX: Austin,Hill Country Randonneurs / 943025,ACPB,300,2021/02/27,4,2.0,12580
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,400,2021/02/27,2,0.0,11993
MD: Capital Region,DC Randonneurs / 946012,ACPB,200,2021/02/27,20,3.0,12115
LA: New Orleans,Crescent City Randonneurs / 918002,ACPB,200,2021/02/27,3,0.0,12460
AL: Birmingham,Montgomery Bicycle Club / 901005,ACPB,200,2021/02/27,3,0.0,11933
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2021/02/27,3,0.0,11992
NY: Central/Western,Finger Lakes Randonneurs / 932007,ACPB,200,2021/02/28,1,0.0,12429
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,400,2021/03/06,11,1.0,12184
TX: Austin,Hill Country Randonneurs / 943025,ACPB,400,2021/03/06,8,0.0,12041
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,300,2021/03/06,2,0.0,12183
TX: Central Texas,Heart of Texas Randonneurs / 943049,RUSAB,200,2021/03/06,4,0.0,12587
